# colloquial surface -> English canonical, for `indicator build-lexicon --aliases`.
# Generated by fine-tuning/tool_aliases.py from the benchmark indicator sheets;
# edit those, or add curated rows below the generated block, and regenerate.
# 2,229 pairs over 2,193 surfaces, from 3,370 sheet rows.
%BC	% B Cell
%CTNKC	% Cytotoxic NK cells
%Lym	% Lymphocyte
%NKC	% NK Cell
%NKT	% NKT
%RTC	% Regulatory T Cell
%TC	% T Cell
%TCT(CD8)C	% Cytotoxic (CD8) T Cell
%TTH(CD4)C	% T-Helper (CD4) Cell
%TTH17C	% T-Helper-17
%TTH1C	% T-Helper-1 Cell
%TTH2C	% T-Helper-2 Cell
%ω-3	%Omega-3s
芥菜籽	Mustard Seed
芦笋	Asparagus
花生	Peanut
花生凝集素	Peanut Agglutinin
花生四烯酸	Arachidonic Acid
花生四烯酸 / 二十碳五烯酸	Arachidonic acid /Eicosapentaenoic acid 20:4 n6 / 20:5 n3
花生四烯酸 20:4 n-6	Arachidonic 20:4 n6
花生油质蛋白	Peanut Oleosin
花生酱	Peanut Butter
花生酸	Arachidic Acid
芹菜	Celery
芽囊原虫属	Blastocystis spp.
芽孢杆菌属	Bacillus species
苋	Amaranth
苋菜	Amaranth
苍耳	Cocklebur
苏氨酸	Threonine
苯丙氨酸	Phenylalanine
苯乙酰肉碱	Phenylacetylcarnitine
苯环化合物 IgG+IgA	Benzene Ring Compounds IgG+IgA
苯环化合物 IgM	Benzene Ring Compounds IgM
苯甲酰肉碱	Benzoylcarnitine
苹果	Apple
苹果汁	Apple Cider
草甘膦	Glyphosate
草莓	Strawberry
荔枝	Lychee
荞麦	Buckwheat
药物	current medications
莳萝	Dill
菠菜 + 水通道蛋白	Spinach + Aquaporin
菠萝	Pineapple
菠萝菠萝蛋白酶	Pineapple Bromelain
菲律宾毛细线虫	Capillaria philippinensis
萝卜	Radish
葎草	Humulus
葡萄柚	Grapefruit
葡萄糖 - 胰岛素相互作用	Glucose-Insulin Interaction
葡萄糖(一小时)	Glucose-1hour
葡萄糖(三小时)	Glucose-3hour
葡萄糖(半小时)	Glucose-30min
葡萄糖-6-磷酸脱氢酶（G6PD）筛查	Glucose-6-Phosphate Dehydrogenase Screening
蓝莓	Blueberry
蓼草	Dock Weed
蔓越莓	Cranberry
薄荷	Mint
藜	Chenopodium
藜麦	Quinoa
蘑菇	mushroom
虫卵	Parasite Ova
虾	Shrimp
虾原肌球蛋白	Shrimp Tropomyosin
蛋氨酸	Methionine
蛋白C	Protein C
蛋白S	Protein S
蛋白质分解产物（总量 ）	Products of Protein Breakdown (Total）
蛋白质定性	Protein Qualitative
蛋白酪氨酸磷酸酶抗体	protein tyrosine phosphatase antibody
蛔虫	Ascaris lumbricoides
蛔虫卵	Ascaris egg
蛲虫	Enterobius vermicularis
蟑螂	Cockroach
蟹	Crab
血β2-微球蛋白	Serum β2-Microglobulin
血压	Blood Pressure
血吸虫卵	Schistosome egg
血吸虫属	Schistosoma spp.
血小板分布宽度	Platelet Distribution Width
血小板压积	Platelet crit
血小板电泳时间	Platelet Electrophoresis Time
血小板糖蛋白	Platelet Glycoprotein
血小板计数	Platelet count
血尿	Hematuria
血尿素氮	Blood Urea Nitrogen
血沉方程K值	Erythrocyte Sedimentation Rate Equation K value
血浆铜蓝蛋白	Ceruloplasmin
血液微丝蚴	Blood Microfilaria
血液疟原虫	Blood Plasmodium
血清淀粉样蛋白A	Serum Amyloid A
血清透明质酸酶	Hyaluronic Acid
血管性血友病因子抗原	Von Willebrand Factor Antigen
血管性血友病因子活性	Von Willebrand Factor Activity
血管紧张素Ⅰ	Angiotensin I
血管紧张素Ⅱ	Angiotensin II
血红蛋白	Hemoglobin
血细胞比容百分比	Hematocrit
血脑屏障蛋白 IgG+IgA	Blood Brain Barrier Protein IgG+IgA
血脑屏障蛋白 IgM	Blood Brain Barrier Protein IgM
衣原体抗体IgM	Chlamydia Antibody IgM
补体C3	Complement C3
补体C4	Complement C4
补充意见1	Supplementary Comment 1
补充意见2	Supplementary Comment 2
补吸气容积	Inspiratory Reserve Volume
补呼气容积	Expiratory reserve volume
裂头蚴IgG抗体	Sparganum mansoni IgG antibody
裂隙灯检查	Slit - lamp examination
裸视力（右）	Uncorrected visual acuity (Right)
裸视力（左）	Uncorrected visual acuity (Left)
西兰花	Broccoli
西方豚草	Western Ragweed
西瓜	Watermelon
西红柿	Tomato
觉醒次数（指数）	# Wake (Index)
讨论	Discussion
记录日期	Recording date
评估/计划	Asessment/Plan
评估总结	Summary of assessment
诊断	Diagnosis
诊断意见	Impression
诺如病毒	Norovirus
调节性 T 细胞百分比	% Regulatory T Cell
谷吗啡肽 + 前强啡肽 IgA	Gluteomorphin + Prodynorphin IgA
谷吗啡肽 + 前强啡肽 IgG	Gluteomorphin + Prodynorphin IgG
谷氨酸	Glutamic Acid
谷氨酸脱氢酶	Glutamate Dehydrogenase
谷氨酸脱羧酶65抗体	Glutamic acid decarboxylase 65 antibodies
谷氨酸脱羧酶抗体	glutamic acid decarboxylase antibody
谷氨酸脱羧酶自身抗体	Glutamic Acid Decarboxylase Autoantibody
谷胱甘肽	Glutathione
谷胱甘肽还原酶	Glutathione reductase
谷草/谷丙	Aspartate Aminotransferase/Alanine aminotransferase
豆类凝集素	Bean Agglutinins
豆腐	Tofu
豌豆凝集素	Pea Lectin
豌豆蛋白	Pea Protein
贝	Shellfish
贾第虫属	Giardia
赖氨酸	Lysine
超广谱β-内酰胺酶	Extended-Spectrum Beta-Lactamase
身体总水量	Total body water
身体质量指数	Body Mass Index
身高	Height
躯干	Torso
转录中介因子1-γ抗体	TIF1-γ
转谷氨酰胺酶 - 2 IgA	Transglutaminase-2 IgA
转谷氨酰胺酶 - 2 IgG	Transglutaminase-2 IgG
转谷氨酰胺酶 - 3 IgA	Transglutaminase-3 IgA
转谷氨酰胺酶 - 3 IgG	Transglutaminase-3 IgG
转谷氨酰胺酶 - 6 IgG	Transglutaminase-6 IgA
转谷氨酰胺酶 - 6 IgG	Transglutaminase-6 IgG
转铁蛋白	Fecal transferrin
转铁蛋白	Transferrin
轮状病毒	Rotavirus
软质奶酪 + 硬质奶酪	Soft Cheese + Hard Cheese
载脂蛋白A1	Apolipoprotein A1
载脂蛋白B	Apolipoprotein B
辅助性 T 细胞 1 百分比	% T-Helper-1 Cell
辅助性 T 细胞 17 百分比	% T-Helper-17
辅助性 T 细胞 2 百分比	% T-Helper-2 Cell
辅助性 T 细胞（CD4）百分比	% T-Helper (CD4) Cell
辅助性T淋巴细胞	Helper T Lymphocytes
辅助性T淋巴细胞绝对计数	Absolute Count of Helper T Lymphocyte
辅酶 Q10	Coenzyme Q10
输血史	history of blood transfusion
辛烯酰肉碱	OCTENOYLCARNITINE C8:1
辛酰基	Octanoyl (C8)
辣椒	Chili Pepper
辣椒粉	Paprika
过氧化氢	Hydrogen Peroxide
迈氏唇鞭毛虫	Chilomastix mesnili
还原血红蛋白	Deoxygenated Hemoglobin
迟钝脱硫弧菌	Desulfovibrio piger
迷迭香	Rosemary
速溶咖啡	Instant Coffee
造影剂	contrast agent
邻单胞菌	Plesiomonas
部分凝血活酶时间	partial thromboplastin time
酪啡肽	Casomorphin
酪氨酸	Tyrosine
酮体	Ketones
酰基肉碱	Acylcarnitine
酰基肉碱与游离肉碱比率	Acylcarnitine to Free Carnitine Ratio
酵母	Yeast
酵母细胞	Yeast Cells
酸奶	Yogurt
醛固酮	Aldosterone
醛缩酶	Aldolase
金枪鱼	Tuna
金黄色葡萄球菌	Staphylococcus aureus
钙保护蛋白定量	Calprotectin Quant
钙卫蛋白†	Calprotectin †
钙卫蛋白定量	Calprotectin Quantification in Urine
钠	Sodium
钩口属 / 板口属（钩虫）	Ancylostoma/Necator (Hookworm)
钩虫卵	Hookworm egg
钴胺素	Vitamin B12
钼	Molybdenum
钾	Potassium
钾离子校正阴离子间隙	Corrected Anion Gap
铁	Iron
铁利用率	Iron Utilization Rate
铁调素	Hepcidin
铁饱和度	Iron Saturation
铅	Lead
铜	Copper
铝	Aluminium
铬	Chromium
锌	Zinc
锌转运蛋白抗体	Zinc transporter antibody
锰	Manganese
镉	Cadmium
镜检上皮细胞	Microscopic Examination of Epithelial Cells
镜检病理管型	Microscopic Examination of Pathological Casts
镜检白细胞	Microscopic - examined White Blood Cells
镜检管型细胞	Microscopic Examination of Cast Cells
镜检红细胞	Microscopic - examined Red Blood Cells
镜检透明管型	Microscopic Examination of Hyaline Casts
长双歧杆菌长亚种	Bifidobacterium longum subsp. Longum
长链脂肪酸	Long-Chain Fatty Acids
闭合蛋白 / 连蛋白 IgA	Occludin/Zonulin IgA
闭合蛋白 / 连蛋白 IgG	Occludin/Zonulin IgG
闭合蛋白 / 连蛋白 IgM	Occludin/Zonulin IgM
间接胆红素	Indirect Bilirubin
阔节裂头绦虫	Diphyllobothrium latum
阴离子间隙	Anion Gap
阻塞性的	Obstructive
阿米卡星	Amikacin
降钙素原	Procalcitonin
随年龄变化的骨骼肌质量	Skeletal Muscle Mass over Age
随访	Follow up
随访安排	Follow up
隐孢子虫	Cryptosporidium
隐孢子虫属	Cryptosporidium spp.
隐血	Occult Blood
雄烯二酮	Androstenedione
雌二醇	Estradiol
雌酮	Estrone
霉菌	Fungi
霍乱弧菌	Vibrio cholerae
静息能量消耗	Resting energy expenditure
非高密度脂蛋白胆固醇	Non-HDL Cholesterol
非麸质蛋白 A IgA	Non-Gluten Proteins A IgA
非麸质蛋白 A IgG	Non-Gluten Proteins A IgG
非麸质蛋白 B IgA	Non-Gluten Proteins B IgA
非麸质蛋白 B IgG	Non-Gluten Proteins B IgG
鞭虫	Trichuris trichiura
鞭虫卵	Trichuris egg
韦荣氏球菌属	Veillonella spp.
预先指示	Advance directives
预防接种史	history of vaccination
颈管细胞	Endocervical Cells
颌下腺	Submandibular Gland
颗粒细胞	Granular Cells
颜色††	Color††
颞下颌关节	Temporomandibular Joint
风疹病毒IgM抗体	Rubella Virus IgM Antibody
食物残渣	Food Residue
食用色素	Food Coloring
饮食习惯	dietary habit
香草	Vanilla
香草扁桃酸	Vanillylmandelic Acid
香菜	Cilantro
香蕉	Banana
骨碱性磷酸酶	Bone Alk. Phosphatase
骨细胞	Osteocyte
骨钙素	Osteocalcin
骨骼肌质量	Skeletal Muscle Mass
骨髓铁染色	Bone Marrow Iron Stain
高密度脂蛋白胆固醇	High-Density Lipoprotein Cholesterol
高敏感C反应蛋白	High-Sensitivity C-Reactive Protein
高灵敏度C反应蛋白	High Sensitivity C-Reactive Protein
高灵敏度肌钙蛋白I	High Sensitivity Cardiac Troponin I
高瓜氨酸	Homocitrulline
高粱	Sorghum
高铁血红蛋白	Methemoglobin
鲑鱼	Salmon
鳕鱼	Codfish
鳞状细胞	squamous cells
鳞状细胞癌抗原	Squamous Cell Carcinoma Antigen
鸟氨酸	Ornithine
鸡肉	chicken
鸡蛋	Egg
鸽子血清抗体	Pigeon Serum Antibody
鹅肌肽	Anserine
麦谷蛋白 21 聚体 IgA	Glutenin 21-mer IgA
麦谷蛋白 21 聚体 IgG	Glutenin 21-mer IgG
麦醇溶蛋白 - 转谷氨酰胺酶复合物 IgA	Gliadin-Transglutaminase Complex IgA
麦醇溶蛋白 - 转谷氨酰胺酶复合物 IgG	Gliadin-Transglutaminase Complex IgG
麦醇溶蛋白毒性肽 IgA	Gliadin Toxic Peptides IgA
麦醇溶蛋白毒性肽 IgG	Gliadin Toxic Peptides IgG
麻疹病毒IgG抗体	Measles IgG
麻疹病毒IgG抗体水平	Measles IgG Level
黄体生成素	Luteinizing Hormone
黄原胶	Xanthan Gum
黄曲霉抗体	Aspergillus flavus Antibody
黄曲霉毒素 IgG+IgA	Aflatoxins IgG+IgA
黄曲霉毒素 IgM	Aflatoxins IgM
黄蓍胶	Gum Tragacanth
黑巧克力 + 可可粉	Dark Chocolate + Cocoa
黑曲霉	Aspergillus niger
黑色素瘤分化相关蛋白5抗体	Anti-melanoma differentiation associated gene-5 antibody
黑麦草	Rye Grass
黑麦，大麦，斯佩耳特小麦，波兰小麦	Rye, Barley, Spelt, Polish Wheat
鼓膜	Tympanic Membrane
鼠尾草	Sage Weed
鼻中隔	Nasal Septum
鼻腔	Nasal Cavity
龙虾	Lobster
